학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명
한림성심대학교,Hallym Polytechnic University,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 춘천시 동면 장학길 48,,24210,,www.hsc.ac.kr,033-240-9000,033-252-9462,14336,2024,45665,B340014,한국대학교육협의회
한양여자대학교,Hanyang Women’s University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 성동구 살곶이길 200 (사근동, 한양여자대학)",,04763,,www.hywoman.ac.kr,02-2290-2114,02-2290-6111,27383,2024,45665,B340014,한국대학교육협의회
한영대학교,Hanyeong University,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 여수시 장군산길 18-43 (여서동, 한영대학)",,59720,,www.hanyeong.ac.kr,061-650-4109,061-650-4020,33949,2024,45665,B340014,한국대학교육협의회
혜전대학교,Hyejeon College,본교,전문대학,전문대학,사립,44,충청남도,충청남도 홍성군 홍성읍 대학1길 19,,32244,,www.hj.ac.kr,041-630-2455,041-634-6425,29930,2024,45665,B340014,한국대학교육협의회
호산대학교,Hosan University,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경산시 하양읍 대경로105길 19 (부호리, 호산대학교)",,38428,,www.hosan.ac.kr,053-850-8000,053-853-9715,33672,2024,45665,B340014,한국대학교육협의회
한국농수산대학교,Korea National University Of Agriculture And Fisheries,본교,전문대학,전문대학,특별법국,52,전북특별자치도,전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515(중동),,54874,,www.af.ac.kr,063-238-9114,063-238-9719,35509,2024,45665,B340014,한국대학교육협의회
한국복지대학교,Korea National University Of Welfare,본교,전문대학,전문대학,국립,41,경기도,"경기도 평택시 삼남로 283 (장안동, 한국복지대학교)",,17738,,www.knuw.ac.kr,031-610-4600,031-610-4604,37364,2024,45665,B340014,한국대학교육협의회
한국승강기대학교,Korea Lift College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 거창군 거창읍 운정1길 120 (송정리, 한국승강기대학)",,50141,,www.klc.ac.kr,055-949-2220,055-949-2222,40238,2024,45665,B340014,한국대학교육협의회
한국영상대학교,Korea University Of Media Arts,본교,전문대학,전문대학,사립,36,세종특별자치시,"세종특별자치시 장군면 대학길 300 (금암리, 한국영상대학)",,30056,,www.pro.ac.kr,044-850-9000,044-850-9008,33949,2024,45665,B340014,한국대학교육협의회
장안대학교,Jangan College,본교,전문대학,전문대학,사립,41,경기도,"경기도 화성시 봉담읍 삼천병마로 1182 (상리, 장안대학)",,18331,,www.jangan.ac.kr,031-299-3000,031-227-1953,28924,2024,45665,B340014,한국대학교육협의회
재능대학교,JEI University,본교,전문대학,전문대학,사립,28,인천광역시,"인천광역시 동구 재능로 178 (송림동, 재능대학)",,22573,,www.jeiu.ac.kr,032-890-7000,032-890-7065,25918,2024,45665,B340014,한국대학교육협의회
적십자간호대학,Red Cross College Of Nursing,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)",,06974,,redcross.cau.ac.kr,02-3700-3632,02-3700-3400,16725,2024,45665,B340014,한국대학교육협의회
전남과학대학교,Chunnam Techno University,본교,전문대학,전문대학,사립,46,전라남도,전라남도 곡성군 옥과면 대학로 113 (옥과리),,57500,,www.cntu.ac.kr,061-360-5000,061-363-5020,33226,2024,45665,B340014,한국대학교육협의회
전남도립대학교,Jeonnam State University,본교,전문대학,전문대학,공립,46,전라남도,"전라남도 담양군 담양읍 죽녹원로 152 (향교리, 전남도립대학)",,57337,,www.dorip.ac.kr,061-380-8419,061-381-9100,35867,2024,45665,B340014,한국대학교육협의회
전북과학대학교,Jeonbuk Science College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 정읍시 정읍사로 509 (시기동, 전북과학대학)",,56204,,www.jbsc.ac.kr,063-530-9114,063-532-3768,34655,2024,45665,B340014,한국대학교육협의회
전주기전대학,Jeonju Kijeon College,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 전주시 완산구 전주천서로 267 (중화산동1가, 전주기전대학)",,54989,,www.kijeon.ac.kr,063-280-5208,063-231-6415,27109,2024,45665,B340014,한국대학교육협의회
전주비전대학교,Vision College Of Jeonju,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 전주시 완산구 천잠로 235 (효자동2가, 전주비전대학)",,55069,,www.jvision.ac.kr,063-220-4114,063-220-3629,27783,2024,45665,B340014,한국대학교육협의회
제주관광대학교,Jeju Tourism University,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 애월읍 평화로 2715 (광령리, 제주관광대학)",,63063,,www.jtu.ac.kr,064-740-8700,064-748-2829,33949,2024,45665,B340014,한국대학교육협의회
제주산업정보대학,Jeju College Of Technology,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 516로 2870 (영평동, 제주산업정보대학)",,63309,,www.jeju.ac.kr,064-754-0215,064-702-8330,26647,2024,45665,B340014,한국대학교육협의회
제주한라대학교,Cheju Halla University,본교,전문대학,전문대학,사립,50,제주특별자치도,"제주특별자치도 제주시 한라대학로 38 (노형동, 제주한라대학)",,63092,,www.chu.ac.kr,064-741-7575,064-747-3989,25292,2024,45665,B340014,한국대학교육협의회
조선간호대학교,Chosun Nursing College,본교,전문대학,전문대학,사립,29,광주광역시,광주광역시 동구 조선대2길 70(서석동),,61453,,www.cnc.ac.kr,062-231-7000,062-231-7019,26290,2024,45665,B340014,한국대학교육협의회
조선이공대학교,Chosun College Of Science & Technoloy,본교,전문대학,전문대학,사립,29,광주광역시,광주광역시 동구 조선이공대길 11(서석동),,61453,,www.cst.ac.kr,062-230-8114,062-230-8099,23039,2024,45665,B340014,한국대학교육협의회
진주보건대학교,Jinju Health College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 진주시 의병로 51 (상봉동, 진주보건대학)",,52655,,www.jhc.ac.kr,055-740-1700,055-743-3010,26290,2024,45665,B340014,한국대학교육협의회
창신대학,Changshin College,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학)",,51352,,www.csc.ac.kr,055-250-3004,055-250-3190,33304,2024,45665,B340014,한국대학교육협의회
창원문성대학교,Changwon Moonsung University,본교,전문대학,전문대학,사립,48,경상남도,경상남도 창원시 성산구 충혼로 91(두대동),,51410,,www.cmu.ac.kr,055-279-5114,055-279-5086,28852,2024,45665,B340014,한국대학교육협의회
청강문화산업대학교,Chungkang College Of Cultural Industries,본교,전문대학,전문대학,사립,41,경기도,"경기도 이천시 마장면 청강가창로 389-94 (해월리, 청강문화산업대학)",,17390,,www.ck.ac.kr,031-637-1114,031-639-5727,35132,2024,45665,B340014,한국대학교육협의회
청암대학교,Cheongam College,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 순천시 녹색로 1641 (덕월동, 순천청암대학)",,57997,,ca.ac.kr,061-740-7100,061-743-6414,19815,2024,45665,B340014,한국대학교육협의회
춘해보건대학교,Choonhae College Of Health Sciences,본교,전문대학,전문대학,사립,31,울산광역시,"울산광역시 울주군 웅촌면 대학길 9 (곡천리, 춘해보건대학)",,44965,,www.ch.ac.kr,052-270-0100,052-225-9889,24913,2024,45665,B340014,한국대학교육협의회
충남도립대학교,Chungnam State University,본교,전문대학,전문대학,공립,44,충청남도,"충청남도 청양군 청양읍 학사길 55 (벽천리, 충남도립대학교)",,33303,,www.cnsu.ac.kr,041-635-6600,041-635-7950,35873,2024,45665,B340014,한국대학교육협의회
충북도립대학교,Chungbuk Provincial University,본교,전문대학,전문대학,공립,43,충청북도,충청북도 옥천군 옥천읍 대학길 15 (문정리),,29046,,www.cpu.ac.kr,043-220-5313,043-220-5319,35860,2024,45665,B340014,한국대학교육협의회
충북보건과학대학교,Chungbuk Health And Science University,본교,전문대학,전문대학,사립,43,충청북도,"충청북도 청주시 청원구 내수읍 덕암길 10 (덕암리, 충북보건과학대학교)",,28150,,www.chsu.ac.kr,043-210-8133,043-210-8305,33675,2024,45665,B340014,한국대학교육협의회
충청대학교,Chungcheong University,본교,전문대학,전문대학,사립,43,충청북도,"충청북도 청주시 흥덕구 강내면 월곡길 38 (월곡리, 충청대학)",,28171,,www.ok.ac.kr,043-230-2114,043-230-2115,30295,2024,45665,B340014,한국대학교육협의회
포항대학교,Pohang University,본교,전문대학,전문대학,사립,47,경상북도,경상북도 포항시 북구 흥해읍 포항대학로 7,,37555,,www.pohang.ac.kr,054-251-8000,054-252-5005,19178,2024,45665,B340014,한국대학교육협의회
한국골프과학기술대학교,Korea Golf University of Science & Technology,본교,전문대학,전문대학,사립,51,강원특별자치도,강원특별자치도 횡성군 우천면 하대5길 109,,25247,,www.kg.ac.kr,033-810-1041,033-810-1001,40603,2024,45665,B340014,한국대학교육협의회
한국관광대학교,Korea Tourism College,본교,전문대학,전문대학,사립,41,경기도,"경기도 이천시 신둔면 이장로311번길 197-73 (고척리, 한국관광대학)",,17306,,www.ktc.ac.kr,031-644-1000,031-644-1122,36913,2024,45665,B340014,한국대학교육협의회
순천제일대학교,Suncheon Jeil College,본교,전문대학,전문대학,사립,46,전라남도,"전라남도 순천시 제일대학길 17 (덕월동, 순천제일대학)",,57997,,www.suncheon.ac.kr,061-740-1234,061-743-5106,28915,2024,45665,B340014,한국대학교육협의회
숭의여자대학교,Soongeui Women’s University,본교,전문대학,전문대학,사립,11,서울특별시,"서울특별시 중구 소파로2길 10 (예장동, 숭의여자대학)",,04628,,www.sewu.ac.kr,02-3708-9052,02-773-2625,1400,2024,45665,B340014,한국대학교육협의회
신구대학교,Shingu College,본교,전문대학,전문대학,사립,41,경기도,"경기도 성남시 중원구 광명로 377 (금광동, 신구대학)",,13174,,www.shingu.ac.kr,031-740-1114,031-734-0905,27017,2024,45665,B340014,한국대학교육협의회
신성대학교,Shinsung University,본교,전문대학,전문대학,사립,44,충청남도,"충청남도 당진시 정미면 대학로 1 (덕마리, 신성대학교)",,31801,,www.shinsung.ac.kr,041-350-1114,041-350-1075,34759,2024,45665,B340014,한국대학교육협의회
신안산대학교,Shin Ansan University,본교,전문대학,전문대학,사립,41,경기도,"경기도 안산시 단원구 신안산대학로 135 (초지동, 신안산대학교)",,15435,,www.sau.ac.kr,031-490-6000,031-495-7828,34454,2024,45665,B340014,한국대학교육협의회
신흥대학교,Shinheungcollege,본교,전문대학,전문대학,사립,41,경기도,"경기도 의정부시 호암로 95 (호원동, 신한대학교)",,11644,,www.shc.ac.kr,031-870-3324,031-870-3329,26290,2024,45665,B340014,한국대학교육협의회
아주자동차대학교,Ajou Motor College,본교,전문대학,전문대학,사립,44,충청남도,충청남도 보령시 주포면 대학길 106,,33415,,www.motor.ac.kr,041-939-3008,041-939-3457,34655,2024,45665,B340014,한국대학교육협의회
안동과학대학교,Andong Science College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 안동시 서후면 서선길 189 (교리, 안동과학대학교)",,36616,,www.asc.ac.kr,054-851-3500,054-852-9907,30376,2024,45665,B340014,한국대학교육협의회
안산대학교,Ansan University,본교,전문대학,전문대학,사립,41,경기도,"경기도 안산시 상록구 안산대학로 155 (일동, 안산대학교)",,15328,,www.ansan.ac.kr,031-400-6900,031-419-8390,26724,2024,45665,B340014,한국대학교육협의회
여주대학교,Yeoju Institute Of Technology,본교,전문대학,전문대학,사립,41,경기도,"경기도 여주시 세종로 338 (교동, 여주대학교)",,12652,,www.yit.ac.kr,031-880-5000,031-883-5113,34029,2024,45665,B340014,한국대학교육협의회
연성대학교,Yeonsung University,본교,전문대학,전문대학,사립,41,경기도,"경기도 안양시 만안구 양화로37번길 34 (안양동, 연성대학교)",,14011,,www.yeonsung.ac.kr,031-441-2168,031-441-2170,28189,2024,45665,B340014,한국대학교육협의회
연암공과대학교,Yonam Institute Of Technology,본교,전문대학,전문대학,사립,48,경상남도,"경상남도 진주시 진주대로 629번길 35(가좌동, 연암공과대학교)",,52821,,www.yc.ac.kr,055-751-2000,055-751-2096,30811,2024,45665,B340014,한국대학교육협의회
연암대학교,Yonam College,본교,전문대학,전문대학,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 연암로 313 (수향리, 천안연암대학)",,31005,,www.yonam.ac.kr,041-580-1114,041-581-0401,28144,2024,45665,B340014,한국대학교육협의회
영남외국어대학,Youngnam Foreign Language College,본교,전문대학,전문대학,사립,47,경상북도,"경상북도 경산시 남천면 남천로 780-9 (협석리, 영남외국어대학)",,38695,,www.yflc.ac.kr,053-810-0100,053-810-0199,34759,2024,45665,B340014,한국대학교육협의회
영남이공대학교,Yeungnam University College,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 남구 현충로 170 (대명동, 영남이공대학)",,42415,,www.ync.ac.kr,053-650-9114,053-624-7871,24883,2024,45665,B340014,한국대학교육협의회
영진전문대학교,Yeungjin University,본교,전문대학,전문대학,사립,27,대구광역시,"대구광역시 북구 복현로 35 (복현동, 영진전문대학)",,41527,,www.yju.ac.kr,053-940-5132,053-939-1050,28196,2024,45665,B340014,한국대학교육협의회
오산대학교,Osan University,본교,전문대학,전문대학,사립,41,경기도,"경기도 오산시 청학로 45 (청학동, 오산대학)",,18119,,www.osan.ac.kr,031-370-2500,031-373-7388,28635,2024,45665,B340014,한국대학교육협의회
용인예술과학대학교,Yong-In Arts & Science University,본교,전문대학,전문대학,사립,41,경기도,"경기도 용인시 처인구 동부로 61 (마평동, 용인송담대학교)",,17145,,www.ysc.ac.kr,031-330-9000,031-336-9535,34655,2024,45665,B340014,한국대학교육협의회
우송정보대학,Woosong College,본교,전문대학,전문대학,사립,30,대전광역시,대전광역시 동구 백룡로 59(자양동 101-17) 우송정보대학,,34518,,www.wsi.ac.kr,042-629-6114,042-629-6653,23029,2024,45665,B340014,한국대학교육협의회
울산과학대학교,Ulsan College,본교,전문대학,전문대학,사립,31,울산광역시,"울산광역시 동구 봉수로 101 (화정동, 울산과학대학동부캠퍼스)",,44022,,www.uc.ac.kr,052-230-0500,052-234-9300,26647,2024,45665,B340014,한국대학교육협의회
웅지세무대학교,Woongji Accounting & Tax College,본교,전문대학,전문대학,사립,41,경기도,"경기도 파주시 탄현면 웅지로144번길 73 (금승리, 웅지세무대학)",,10846,,www.wat.ac.kr,031-940-3114,031-940-3199,38047,2024,45665,B340014,한국대학교육협의회
원광보건대학교,Wonkwang Health Science University,본교,전문대학,전문대학,사립,52,전북특별자치도,"전북특별자치도 익산시 익산대로 514 (신용동, 원광보건대학)",,54538,,www.wu.ac.kr,063-840-1114,063-840-1567,27783,2024,45665,B340014,한국대학교육협의회
유한대학교,Yuhan University,본교,전문대학,전문대학,사립,41,경기도,"경기도 부천시 소사구 경인로 590 (괴안동, 유한대학)",,14780,,www.yuhan.ac.kr,02-2610-0600,02-2614-6398,28567,2024,45665,B340014,한국대학교육협의회
